Domain Code,Domain,Area Code (M49),Country,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Production Tonnes,Flag,Flag Description,Note,Forest_area_pct
QCL,Crops and livestock products,170,Colombia,5510,Production,2165,Palm oil,2013,2013,t,1040835.0,A,Official figure,,54.4424623704371
QCL,Crops and livestock products,170,Colombia,5510,Production,2165,Palm oil,2014,2014,t,1109586.0,A,Official figure,,54.3211230283912
QCL,Crops and livestock products,170,Colombia,5510,Production,2165,Palm oil,2015,2015,t,1275000.0,A,Official figure,,54.1997836863452
QCL,Crops and livestock products,170,Colombia,5510,Production,2165,Palm oil,2016,2016,t,1146000.0,A,Official figure,,54.0419017575485
QCL,Crops and livestock products,170,Colombia,5510,Production,2165,Palm oil,2017,2017,t,1627552.0,A,Official figure,,53.8438666065795
QCL,Crops and livestock products,170,Colombia,5510,Production,2165,Palm oil,2018,2018,t,1631506.37,A,Official figure,,53.6642451554754
QCL,Crops and livestock products,170,Colombia,5510,Production,2165,Palm oil,2019,2019,t,1527548.85,A,Official figure,,53.4846327174403
QCL,Crops and livestock products,170,Colombia,5510,Production,2165,Palm oil,2020,2020,t,1557994.88,A,Official figure,,53.3050112663362
QCL,Crops and livestock products,170,Colombia,5510,Production,2165,Palm oil,2021,2021,t,1747773.03,A,Official figure,,53.1253958539883
QCL,Crops and livestock products,170,Colombia,5510,Production,2165,Palm oil,2022,2022,t,1767624.0,A,Official figure,,52.9457763857593
QCL,Crops and livestock products,360,Indonesia,5510,Production,2165,Palm oil,2013,2013,t,27782004.0,A,Official figure,,51.6002341387757
QCL,Crops and livestock products,360,Indonesia,5510,Production,2165,Palm oil,2014,2014,t,29278189.0,A,Official figure,,51.1068915947056
QCL,Crops and livestock products,360,Indonesia,5510,Production,2165,Palm oil,2015,2015,t,31070015.0,A,Official figure,,50.6135490506354
QCL,Crops and livestock products,360,Indonesia,5510,Production,2165,Palm oil,2016,2016,t,31730961.0,A,Official figure,,50.7434545269582
