Country,Year,Forest_area_pct
Colombia,1960,
Colombia,1961,
Colombia,1962,
Colombia,1963,
Colombia,1964,
Colombia,1965,
Colombia,1966,
Colombia,1967,
Colombia,1968,
Colombia,1969,
Colombia,1970,
Colombia,1971,
Colombia,1972,
Colombia,1973,
Colombia,1974,
Colombia,1975,
Colombia,1976,
Colombia,1977,
Colombia,1978,
Colombia,1979,
Colombia,1980,
Colombia,1981,
Colombia,1982,
Colombia,1983,
Colombia,1984,
Colombia,1985,
Colombia,1986,
Colombia,1987,
Colombia,1988,
Colombia,1989,
Colombia,1990,58.5472194682289
Colombia,1991,58.3468913925192
Colombia,1992,58.1465633168094
Colombia,1993,57.9462352410996
Colombia,1994,57.7459071653898
Colombia,1995,57.54557908968
Colombia,1996,57.3452510139703
Colombia,1997,57.1449229382605
Colombia,1998,56.9445948625507
Colombia,1999,56.7442667868409
Colombia,2000,56.5439387111311
Colombia,2001,56.3701928796755
Colombia,2002,56.1964470482199
Colombia,2003,56.0227012167643
Colombia,2004,55.8489553853087
Colombia,2005,55.6752095538531
Colombia,2006,55.5014637223975
Colombia,2007,55.3277178909419
Colombia,2008,55.1539720594863
Colombia,2009,54.9802262280306
Colombia,2010,54.806480396575
Colombia,2011,54.6851410545291
Colombia,2012,54.5638017124831
Colombia,2013,54.4424623704371
Colombia,2014,54.3211230283912
Colombia,2015,54.1997836863452
Colombia,2016,54.0419017575485
Colombia,2017,53.8438666065795
Colombia,2018,53.6642451554754
Colombia,2019,53.4846327174403
Colombia,2020,53.3050112663362
Colombia,2021,53.1253958539883
Colombia,2022,52.9457763857593
Colombia,2023,
Colombia,2024,
Indonesia,1960,
Indonesia,1961,
Indonesia,1962,
Indonesia,1963,
Indonesia,1964,
Indonesia,1965,
Indonesia,1966,
Indonesia,1967,
Indonesia,1968,
Indonesia,1969,
Indonesia,1970,
Indonesia,1971,
Indonesia,1972,
Indonesia,1973,
Indonesia,1974,
Indonesia,1975,
Indonesia,1976,
Indonesia,1977,
Indonesia,1978,
Indonesia,1979,
Indonesia,1980,
Indonesia,1981,
Indonesia,1982,
Indonesia,1983,
Indonesia,1984,
Indonesia,1985,
Indonesia,1986,
Indonesia,1987,
Indonesia,1988,
Indonesia,1989,
Indonesia,1990,65.4377142478624
Indonesia,1991,64.4846735152382
Indonesia,1992,63.531632782614
Indonesia,1993,62.5785920499898
Indonesia,1994,61.6255513173656
Indonesia,1995,60.6725105847414
Indonesia,1996,59.7194698521172
Indonesia,1997,58.766429119493
Indonesia,1998,57.8133883868688
Indonesia,1999,56.8603476542447
Indonesia,2000,53.943528667353
Indonesia,2001,53.8572019777163
Indonesia,2002,53.7708752880796
Indonesia,2003,53.684548598443
Indonesia,2004,53.5982219088063
Indonesia,2005,53.5118952191696
Indonesia,2006,53.4255685295329
Indonesia,2007,53.3392418398962
Indonesia,2008,53.2529151502595
Indonesia,2009,53.1665884606228
Indonesia,2010,53.0802617709861
Indonesia,2011,52.586919226916
Indonesia,2012,52.0935766828458
Indonesia,2013,51.6002341387757
Indonesia,2014,51.1068915947056
Indonesia,2015,50.6135490506354
Indonesia,2016,50.7434545269582
Indonesia,2017,50.0393338229866
Indonesia,2018,49.7168177792076
Indonesia,2019,49.3942964092507
Indonesia,2020,49.0717803654717
Indonesia,2021,48.3619448681206
Indonesia,2022,48.0419900717626
Indonesia,2023,
Indonesia,2024,
Malaysia,1960,
Malaysia,1961,
Malaysia,1962,
Malaysia,1963,
Malaysia,1964,
Malaysia,1965,
Malaysia,1966,
Malaysia,1967,
Malaysia,1968,
Malaysia,1969,
Malaysia,1970,
Malaysia,1971,
Malaysia,1972,
Malaysia,1973,
Malaysia,1974,
Malaysia,1975,
Malaysia,1976,
Malaysia,1977,
Malaysia,1978,
Malaysia,1979,
Malaysia,1980,
Malaysia,1981,
Malaysia,1982,
Malaysia,1983,
Malaysia,1984,
Malaysia,1985,
Malaysia,1986,
Malaysia,1987,
Malaysia,1988,
Malaysia,1989,
Malaysia,1990,62.7560493075635
Malaysia,1991,62.4738548166185
Malaysia,1992,62.1916603256734
Malaysia,1993,61.9094658347284
Malaysia,1994,61.6272713437833
Malaysia,1995,61.3450768528382
Malaysia,1996,61.0628823618932
Malaysia,1997,60.7806878709481
Malaysia,1998,60.498493380003
Malaysia,1999,60.216298889058
Malaysia,2000,59.9341043981129
Malaysia,2001,59.7077461573581
Malaysia,2002,59.4813879166033
Malaysia,2003,59.2550296758484
Malaysia,2004,59.0286714350936
Malaysia,2005,58.8023131943388
Malaysia,2006,58.5759549535839
Malaysia,2007,58.3495967128291
Malaysia,2008,58.1232384720743
Malaysia,2009,57.8968802313194
Malaysia,2010,57.6705219905646
Malaysia,2011,57.9849764115051
Malaysia,2012,58.2994308324456
Malaysia,2013,58.6138852533861
Malaysia,2014,58.9283396743266
Malaysia,2015,59.2427940952671
Malaysia,2016,58.7875209252777
Malaysia,2017,58.6348805356871
Malaysia,2018,58.4822401460965
Malaysia,2019,58.3295997565059
Malaysia,2020,58.1769593669152
Malaysia,2021,58.0243189773246
Malaysia,2022,57.871678587734
Malaysia,2023,
Malaysia,2024,
Nigeria,1960,
Nigeria,1961,
Nigeria,1962,
Nigeria,1963,
